Material_ID,Name,Calorie,Protein,Lipids,Fiber,Carbohydrates,SaltContent
1185,こめ　［水稲軟めし］　精白米,113,-1.8,-0.3,-1.1,-26.4,0
1090,こめ　［水稲全かゆ］　玄米,64,-1.2,-0.4,-0.6,-15.2,0
1091,こめ　［水稲全かゆ］　半つき米,65,-1.1,-0.3,-0.3,-15.5,0
1092,こめ　［水稲全かゆ］　七分つき米,68,-1.1,-0.2,-0.2,-15.6,0
1093,こめ　［水稲全かゆ］　精白米,65,-1.1,-0.1,-0.1,-15.7,0
1094,こめ　［水稲五分かゆ］　玄米,32,-0.6,-0.2,-0.3,-7.6,0
1095,こめ　［水稲五分かゆ］　半つき米,32,-0.6,-0.1,-0.1,-7.7,0
1096,こめ　［水稲五分かゆ］　七分つき米,32,-0.6,-0.1,-0.1,-7.7,0
1097,こめ　［水稲五分かゆ］　精白米,33,-0.5,-0.1,-0.1,-7.9,0
1098,こめ　［水稲おもゆ］　玄米,19,-0.4,-0.1,-0.2,-4.4,0
1099,こめ　［水稲おもゆ］　半つき米,19,-0.3,-0.1,-0.1,-4.6,0
1100,こめ　［水稲おもゆ］　七分つき米,20,-0.3,-0.1,(Tr),-4.6,0
1101,こめ　［水稲おもゆ］　精白米,19,-0.3,0,(Tr),-4.7,0
1102,こめ　［陸稲穀粒］　玄米,357,10.1,2.7,3,71.1,0
1103,こめ　［陸稲穀粒］　半つき米,356,9.6,1.8,1.4,72.9,0
1104,こめ　［陸稲穀粒］　七分つき米,359,9.5,1.5,0.9,73.4,0
1105,こめ　［陸稲穀粒］　精白米,331,9.3,0.9,0.5,74.5,0
1106,こめ　［陸稲めし］　玄米,156,4.1,1,1.4,34.3,0
1107,こめ　［陸稲めし］　半つき米,157,3.8,0.6,0.8,35.3,0
1108,こめ　［陸稲めし］　七分つき米,155,3.6,0.5,0.5,35.7,0
1109,こめ　［陸稲めし］　精白米,157,3.5,0.3,0.3,36.1,0
1110,こめ　［うるち米製品］　アルファ化米　一般用,358,6,1,1.2,84.8,0
1156,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358,6,1,1.2,84.8,0
1111,こめ　［うるち米製品］　おにぎり,170,2.7,0.3,0.4,39.4,0.5
1112,こめ　［うるち米製品］　焼きおにぎり,166,3.1,0.3,0.4,39.5,1
1113,こめ　［うるち米製品］　きりたんぽ,200,3.2,0.4,0.4,46.2,0
1114,こめ　［うるち米製品］　上新粉,343,6.2,0.9,0.6,78.5,0
